user_id,login,contributor_name,joining_date
5072613,derhuerst,derhuerst,
67269,burningtree,burningtree,
649202,TheJambo,TheJambo,
6282557,kiloreux,kiloreux,
32241933,Ki-er,Ki-er,
26553592,KeyboardInterrupt,KeyboardInterrupt,
674727,ngokevin,ngokevin,
8211181,Unkn0wnCat,Unkn0wnCat,
9685146,careykevin,careykevin,
5753813,AzureByte,AzureByte,
119893,kennethreitz,kennethreitz,
8799955,likedan,likedan,
8832470,Kazhnuz,Kazhnuz,
1174718,kasperisager,kasperisager,
397424,palmskog,palmskog,
9349451,jzarca01,jzarca01,
5250117,J2TEAM,J2TEAM,
15002052,julioc98,julioc98,
29894366,julienrbrt,julienrbrt,
5487021,veggiemonk,veggiemonk,
1427623,klaufel,klaufel,
37962411,JoseDeFreitas,JoseDeFreitas,
20731,jpsilvashy,jpsilvashy,
419946,kareniel,kareniel,
4976218,jonathandion,jonathandion,
658612,mipmip,mipmip,
17216317,g-plane,g-plane,
30696904,pgaxatte,pgaxatte,
34128,phillipadsmith,phillipadsmith,
1606004,pmuens,pmuens,
83007290,FoxFil,FoxFil,
453208,pbauer,pbauer,
9843083,weidenba,weidenba,
8433587,spekulatius,spekulatius,
779965,pmatseykanets,pmatseykanets,
18031711,anotterdev,anotterdev,
772196,PerfectCarl,PerfectCarl,
1865456,peadalmeida,peadalmeida,
1192342,dastergon,dastergon,
25198373,pFarb,pFarb,
83602086,pgray-hiro,pgray-hiro,
9906,passy,passy,
70103896,0PandaDEV,0PandaDEV,
212329,ericyangpan,ericyangpan,
62473795,theowenyoung,theowenyoung,
1712926,oxnr,oxnr,
31819,loleg,loleg,
1911920,TheKitty,TheKitty,
8628038,robinstickel,robinstickel,
1761488,rayokota,rayokota,
6523325,roaldnefs,roaldnefs,
2543566,RiseLedger,RiseLedger,
125399301,Komponist,Komponist,
17570430,rickstaa,rickstaa,
29491356,Richienb,Richienb,
172150522,hesreallyhim,hesreallyhim,
393660,cfjedimaster,cfjedimaster,
17959204,ravirupareliya,ravirupareliya,
826965,hhkaos,hhkaos,
3630346,raphamorim,raphamorim,
8342133,ramitsurana,ramitsurana,
400761,xingh,xingh,
11207756,rahulkapoor90,rahulkapoor90,
30447336,RahulBirCodes,RahulBirCodes,
6261165,rGalrito,rGalrito,
2331058,rafaskb,rafaskb,
3089715,Armaldio,Armaldio,
1171187,quangv,quangv,
14027534,pgoslatara,pgoslatara,
2946769,unicodeveloper,unicodeveloper,
45395091,pranjalpokharel7,pranjalpokharel7,
402547,mifi,mifi,
23558090,m1guelpf,m1guelpf,
168240,miguelmota,miguelmota,
295407,michel-kraemer,michel-kraemer,
2640934,scholtzm,scholtzm,
1631870,IAmCoder,IAmCoder,
549394,weblancaster,weblancaster,
56915010,michaelbrusegard,michaelbrusegard,
11074433,mbrg,mbrg,
5201724,melvin0008,melvin0008,
1939299,msmolyakov,msmolyakov,
17984549,mxschmitt,mxschmitt,
6508835,PandaFoss,PandaFoss,
1193298,Granze,Granze,
35585644,mat7ias,mat7ias,
217511,Matthias84,Matthias84,
175809,mre,mre,
1789893,matteofigus,matteofigus,
475463,matteocrippa,matteocrippa,
9342330,wfhio,wfhio,
1039597,mmccaff,mmccaff,
47728,ThePixelDeveloper,ThePixelDeveloper,
663798,emptymalei,emptymalei,
7734956,brootware,brootware,
86896666,catdevnull,catdevnull,
38805682,NoorEMobeen,NoorEMobeen,
4841586,noahbuscher,noahbuscher,
8945656,k4m4,k4m4,
26570572,gruhn,gruhn,
223045,nikgraf,nikgraf,
253398,NARKOZ,NARKOZ,
12381848,nicolesaidy,nicolesaidy,
181628,nschloe,nschloe,
1671359,heynickc,heynickc,
12474257,n2cholas,n2cholas,
9638054,nadunindunil,nadunindunil,
1840802,nayafia,nayafia,
56471405,mostafatouny,mostafatouny,
1592974,mohataher,mohataher,
139226735,Mo-way,Mo-way,
3473617,mislavcimpersak,mislavcimpersak,
171604,Cellane,Cellane,
147401,nekofar,nekofar,
38471793,cvyl,cvyl,
1038959,mcauser,mcauser,
14341145,cnpryer,cnpryer,
5411330,chiraggude,chiraggude,
553140,notthetup,notthetup,
1377169,chasegiunta,chasegiunta,
4317641,seriousran,seriousran,
2805320,catalinmiron,catalinmiron,
1528484,Dvergar,Dvergar,
918975,candelibas,candelibas,
180032,Calinou,Calinou,
3382565,chentsulin,chentsulin,
11887307,balintkissdev,balintkissdev,
13186360,brycejohnston,brycejohnston,
3207647,bvolpato,bvolpato,
1678530,bricesanchez,bricesanchez,
170997,beardicus,beardicus,
10781965,infosecB,infosecB,
