user_id,repo_id,exact_contributions
22105181,231283452,1
3599407,24195339,1
410447,13807606,1
7765309,221981891,1
7366491,221981891,1
401263,221981891,1
1157888,26066727,1
118219,81598961,1
39924419,24195339,1
970903,3955647,1
4841675,24195339,1
7396,81598961,1
1685031,614765452,1
76877078,231283452,1
25817501,13807606,1
447434,3955647,1
16846521,26066727,1
8781107,26066727,1
12145726,614765452,1
1260178,81598961,1
372491,3955647,1
7738189,24195339,1
10656117,13807606,1
4131655,13807606,1
2727109,614765452,1
8490641,3955647,1
3457668,26066727,1
131406,221981891,1
6927568,614765452,1
8298718,221981891,1
3709715,81598961,1
158987797,231283452,1
6642554,231283452,1
46274278,24195339,1
80911834,81598961,1
192145,3955647,1
823696,13807606,1
286066,26066727,1
15002691,614765452,1
601027,221981891,1
1446119,24195339,1
14340419,231283452,1
4278368,13807606,1
254880,81598961,1
1368508,13807606,1
20238579,24195339,1
18169566,26066727,1
571363,3955647,1
62176855,614765452,1
5808377,221981891,1
4650770,3955647,1
223050,81598961,1
6371704,231283452,1
58448663,614765452,1
16968934,612344730,1
316718,24195339,1
4179147,231283452,1
70496262,26066727,1
4472522,13807606,1
37250396,3955647,1
183588943,81598961,1
1330693,614765452,1
13039652,24195339,1
7195553,13807606,1
64906,221981891,1
693294,221981891,1
50126,81598961,1
18555600,81598961,1
1826685,612344730,1
106070823,231283452,1
1128446,3955647,1
38354472,612344730,1
62777672,24195339,1
16241981,231283452,1
28879318,221981891,1
4939947,13807606,1
89014758,231283452,1
61430731,614765452,1
715278,3955647,1
10505065,614765452,1
287778,221981891,1
1151557,13807606,1
1708197,221981891,1
924700,3955647,1
7661457,24195339,1
157469842,612344730,1
170270,3955647,1
116417456,81598961,1
19355588,24195339,1
24547476,614765452,1
717109,13807606,1
170842536,81598961,1
50035229,612344730,1
31940792,614765452,1
146062795,231283452,1
184502640,231283452,1
2119212,221981891,1
2685357,3955647,1
17944366,24195339,1
138353356,612344730,1
2150438,81598961,1
166,3955647,1
5383,81598961,1
476338,221981891,1
36122478,231283452,1
16437156,614765452,1
12221094,231283452,1
4489934,614765452,1
113054616,24195339,1
13610073,13807606,1
35056071,24195339,1
23022,221981891,1
48999343,13807606,1
17626300,612344730,1
2124761,3955647,1
110169811,612344730,1
5672408,231283452,1
1229065,81598961,1
853977,13807606,1
12418546,614765452,1
27777508,221981891,1
296798,3955647,1
65852,13807606,1
617171,3955647,1
5933384,13807606,1
65916846,612344730,1
128270637,614765452,1
78331596,614765452,1
2451122,24195339,1
